repetition,method,events,elapsed_ns
0,heap,65536,2152377
0,scan,65536,16755999
0,heap-replace,65536,1133615
0,sort,65536,1880528
1,heap,65536,2137895
1,sort,65536,1698524
1,heap-replace,65536,970269
1,scan,65536,16664701
2,heap-replace,65536,1146834
2,scan,65536,16286042
2,sort,65536,1796051
2,heap,65536,2261832
3,heap,65536,2363885
3,sort,65536,1851294
3,heap-replace,65536,1295038
3,scan,65536,17268429
4,heap-replace,65536,1445904
4,scan,65536,16186592
4,heap,65536,2255171
4,sort,65536,1707268
5,heap-replace,65536,983338
5,sort,65536,1791734
5,heap,65536,2477685
5,scan,65536,16578512
6,heap,65536,2183013
6,sort,65536,1920648
6,scan,65536,15970738
6,heap-replace,65536,1022819
7,scan,65536,15646710
7,heap-replace,65536,1622119
7,heap,65536,2909535
7,sort,65536,1843172
8,heap-replace,65536,976949
8,scan,65536,15965359
8,sort,65536,1666737
8,heap,65536,2111565
