repetition,method,events,elapsed_ns
0,heap,65536,2001473
0,scan,65536,185528
0,heap-replace,65536,1098138
0,sort,65536,1464578
1,heap,65536,1462274
1,sort,65536,1361883
1,heap-replace,65536,847141
1,scan,65536,162313
2,heap-replace,65536,927592
2,scan,65536,173520
2,sort,65536,1378579
2,heap,65536,1406360
3,heap,65536,1439060
3,sort,65536,1914322
3,heap-replace,65536,945579
3,scan,65536,169804
4,heap-replace,65536,901794
4,scan,65536,147862
4,heap,65536,1763516
4,sort,65536,1458949
5,heap-replace,65536,861422
5,sort,65536,1412430
5,heap,65536,1712410
5,scan,65536,180481
6,heap,65536,1487693
6,sort,65536,1475914
6,scan,65536,150727
6,heap-replace,65536,859119
7,scan,65536,147631
7,heap-replace,65536,1569916
7,heap,65536,1503666
7,sort,65536,1461533
8,heap-replace,65536,931587
8,scan,65536,189965
8,sort,65536,1358959
8,heap,65536,1419099
