repetition,method,events,elapsed_ns
0,heap,65536,1478262
0,scan,65536,147973
0,heap-replace,65536,872952
0,sort,65536,1653656
1,heap,65536,1441186
1,sort,65536,1606915
1,heap-replace,65536,859572
1,scan,65536,162294
2,heap-replace,65536,886022
2,scan,65536,146580
2,sort,65536,1626134
2,heap,65536,1425132
3,heap,65536,1424001
3,sort,65536,1662709
3,heap-replace,65536,961926
3,scan,65536,148243
4,heap-replace,65536,858931
4,scan,65536,147262
4,heap,65536,1602208
4,sort,65536,1863211
5,heap-replace,65536,946082
5,sort,65536,1640746
5,heap,65536,1577972
5,scan,65536,179980
6,heap,65536,1503670
6,sort,65536,1659714
6,scan,65536,152920
6,heap-replace,65536,926583
7,scan,65536,173891
7,heap-replace,65536,902427
7,heap,65536,1503179
7,sort,65536,1972215
8,heap-replace,65536,860524
8,scan,65536,148293
8,sort,65536,1702769
8,heap,65536,1424751
