repetition,method,events,elapsed_ns
0,heap,65536,1419034
0,scan,65536,148283
0,heap-replace,65536,939573
0,sort,65536,1403650
1,heap,65536,1426194
1,sort,65536,1389099
1,heap-replace,65536,866403
1,scan,65536,148072
2,heap-replace,65536,866193
2,scan,65536,160392
2,sort,65536,1384672
2,heap,65536,1658054
3,heap,65536,1544793
3,sort,65536,1401427
3,heap-replace,65536,863869
3,scan,65536,147743
4,heap-replace,65536,851089
4,scan,65536,147202
4,heap,65536,1439895
4,sort,65536,1380065
5,heap-replace,65536,863849
5,sort,65536,1351532
5,heap,65536,1557212
5,scan,65536,148484
6,heap,65536,1890103
6,sort,65536,1369139
6,scan,65536,148544
6,heap-replace,65536,887464
7,scan,65536,147301
7,heap-replace,65536,851100
7,heap,65536,1412354
7,sort,65536,1381558
8,heap-replace,65536,850600
8,scan,65536,147842
8,sort,65536,1345613
8,heap,65536,1450812
