pattern,feeds,method,median_across_runs_ns,min_run_ns,max_run_ns,spread_pct
bursty,1,heap,32.71,22.27,36.3,42.89
bursty,1,heap-replace,23.57,16.32,26.19,41.87
bursty,1,scan,8.2,5.78,9.0,39.21
bursty,1,sort,68.51,61.72,83.17,31.31
bursty,4,heap,34.68,31.02,36.59,16.06
bursty,4,heap-replace,17.7,16.32,17.82,8.48
bursty,4,scan,24.24,22.83,26.15,13.7
bursty,4,sort,64.2,63.98,69.37,8.39
bursty,16,heap,35.82,35.17,37.46,6.38
bursty,16,heap-replace,17.19,16.92,18.2,7.49
bursty,16,scan,74.5,74.09,79.41,7.14
bursty,16,sort,64.54,62.19,65.25,4.75
bursty,64,heap,45.68,43.59,50.1,14.26
bursty,64,heap-replace,18.05,17.95,20.58,14.58
bursty,64,scan,302.55,289.51,330.28,13.48
bursty,64,sort,63.95,62.29,69.94,11.96
skew,1,heap,25.89,25.21,33.26,31.12
skew,1,heap-replace,18.18,17.89,26.44,47.05
skew,1,scan,6.56,6.47,9.11,40.17
skew,1,sort,70.0,64.92,83.14,26.03
skew,4,heap,39.02,36.83,40.42,9.21
skew,4,heap-replace,26.7,26.35,27.87,5.67
skew,4,scan,10.03,9.98,10.05,0.68
skew,4,sort,78.48,72.36,81.67,11.87
skew,16,heap,41.68,41.44,41.92,1.15
skew,16,heap-replace,28.03,28.03,28.15,0.42
skew,16,scan,44.32,40.39,44.51,9.29
skew,16,sort,50.6,48.64,50.88,4.43
skew,64,heap,57.06,56.98,57.34,0.64
skew,64,heap-replace,39.46,39.13,39.5,0.92
skew,64,scan,246.68,243.8,246.99,1.29
skew,64,sort,49.85,49.27,50.17,1.8
ties,1,heap,23.99,21.55,24.16,10.91
ties,1,heap-replace,16.75,15.54,17.35,10.79
ties,1,scan,5.75,5.6,6.13,9.16
ties,1,sort,61.23,59.7,62.45,4.49
ties,4,heap,30.45,29.06,35.66,21.7
ties,4,heap-replace,17.58,16.96,19.37,13.65
ties,4,scan,12.9,12.1,13.27,9.12
ties,4,sort,67.52,61.81,70.82,13.35
ties,16,heap,47.31,43.94,52.5,18.09
ties,16,heap-replace,22.67,21.31,26.79,24.16
ties,16,scan,59.62,59.38,74.57,25.49
ties,16,sort,76.43,66.14,82.63,21.58
ties,64,heap,39.73,36.59,49.98,33.71
ties,64,heap-replace,17.46,16.71,22.95,35.72
ties,64,scan,188.8,171.67,253.59,43.39
ties,64,sort,63.96,60.85,80.56,30.81
uniform,1,heap,36.07,35.88,36.18,0.84
uniform,1,heap-replace,25.94,25.91,26.0,0.34
uniform,1,scan,8.94,8.9,8.96,0.74
uniform,1,sort,80.07,79.17,80.98,2.25
uniform,4,heap,37.59,37.55,40.98,9.12
uniform,4,heap-replace,18.78,18.78,19.83,5.6
uniform,4,scan,18.44,18.03,19.6,8.48
uniform,4,sort,66.83,64.89,68.71,5.71
uniform,16,heap,48.5,47.53,50.24,5.6
uniform,16,heap-replace,24.9,23.93,25.05,4.51
uniform,16,scan,83.48,83.17,85.57,2.87
uniform,16,sort,68.9,66.86,72.31,7.92
uniform,64,heap,63.03,58.82,65.23,10.17
uniform,64,heap-replace,35.96,34.84,38.69,10.7
uniform,64,scan,321.15,311.31,332.96,6.74
uniform,64,sort,69.94,65.44,75.57,14.49
